Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/04/2020 09:40,@Rasplace_TKD,Randy Álvarez Cárdenas,Yo ya estoy en la fase 3... de sobrepeso.,1249376897990975495,,,,0,0,Twitter for iPhone,569,204,22,,8/12/2009,"Guadalajara, Jalisco",🎓 Graduated from Seoul National University 🥋 Taekwondo since 1997 📷 Instagram: rasplace_tkd,https://www.instagram.com/rasplace_tkd/,,View
12/04/2020 09:40,@JAugustoLopez,José Augusto,"Que me corrijan si me equivoco, pero creo que nunca nos avisaron de que a mi querido México llegaría la Fase 3 del COVID-19.",1249376862591123468,,,,0,0,Twitter Web App,199,639,0,,6/07/2011,,"I was so young, so wrong. I still wrong. Una frase de los Simpson para cada circunstancia. I ain't afraid of no ghost. El mar está sobrevalorado. Duermevela",,,View
12/04/2020 09:40,@Katch707,Carpe Diem,"Ya nada más faltan 18 días para que nos guarden, otros meses. fase 3",1249376858304585734,,,,0,0,Twitter for Android,1043,677,5,,6/02/2014,,"La vida es la fiesta más grande, de ti depende si te levantas y la bailas o te quedas sentado, como pendejo viendo disfrutar a los demás.",,,View
12/04/2020 09:40,@ShingekiNoNinja,Ninjæ,"Tenemos el torneo de maquinitas y el werever no deja de llorar, estamos a nada de entrar en fase 3 y Jimena Sánchez ya es razita, que magia.",1249376839258132485,,pic.twitter.com/8x36ALqfLh,,0,0,Twitter for Android,857,115,3,,11/08/2019,"Napa, CA",¡Plus Ultra!,,,View
12/04/2020 09:40,@ParadigmaTw,Paradigma,"#Nacional ""Ahora preparamos la Fase 3; por eso nos reunimos diariamente con todos los colegas que tienen que ver con la reconversión hospitalaria"", dijo el funcionario federal.",1249376750242533376,http://ow.ly/ibi450zc3D8,,,0,0,Hootsuite Inc.,908,1447,10,,18/07/2016,México,Diario Digital,https://www.paradigma.live,,View
12/04/2020 09:40,@AztecaNoticias,Azteca Noticias,"Reconversión hospitalaria, importante para Fase 3: López-Gatell.",1249376733544853507,https://bit.ly/2ydH3ob,https://pbs.twimg.com/media/EVaZHYJWkAYFN_B.jpg,,0,0,TweetDeck,632023,613,2736,✅,8/03/2009,México,Ponte al día con nuestras noticias. También puedes seguirnos en http://www.facebook.com/AztecaNoticias,http://www.aztecanoticias.com.mx,,View
12/04/2020 09:39,@josueurrutiafus,Josue Urrutia,"Se viene lo peor para #Mexico en la fase 3. No me preocupa la cuarentena, el encierro o los toques de queda. preocupa mas, gente haciendo marchas contra la cuarentena, gente que agreda a los policías, gente agrediendo al sector médico.",1249376634076975104,,,,0,0,Twitter for iPhone,68,433,0,,18/11/2012,,"Muy Juarense, Chihuahuense orgulloso. Esposo de Korina Gutierrez. Hombre de y con fe. Politico en Proceso, opinador Politico. #NorteñoDelMeroNorte",,,View
12/04/2020 09:38,@Huguito_jimenes,Hugo Jiménez,- Así de cerca estamos loco Fase 3 triste,1249376369936666624,,https://pbs.twimg.com/media/EVatKpzUcAAmO97.jpg,,0,1,Twitter for Android,84,1901,0,,26/02/2019,México,Ciclista urbano👉🚴‍♀️👈 fotógrafo en proceso 📸🔝 adicto a los tacos al pastor🌮viajero✈️Real Madrid & Dallas Cowboys 💯%no soporto Facebook 🤬Chilango 💯%,,,View
12/04/2020 09:38,@ivanzuco,Rajesh,"Le pusieron Fase 3, porque ""Ahora si hijos de su madre, no entendieron por la buenas de quedarse en casa, ahora será por las mala"". Estaba más largo.",1249376334469447680,,,,0,0,Twitter for Android,628,1520,11,,29/10/2009,,,,,View
12/04/2020 09:37,@josharellano,Yeshúa,Se nos viene la fase 3 de la pandemia en México. Es ahora donde las acciones de toda esa gente irresponsable a la que sencillamente le valió madre el tomar medidas para minimizar el contagio cobrará real relevancia.,1249376183889747968,,,,0,0,Twitter for Android,809,181,23,,2/05/2009,Mexico City,Biochemical🧬 - Chemical Engineer🥽/ @IPN_MX @UNAM_MX/ Generation X/ Science🔬/ Chess♟️ Mind Blowing 💥,,,View
